,AUWHXEA1AXCVE,A2OWT6YNGSTFGZ,A2XGOBIWUDYLOT,A1DXFMUVK5015A,A27XCW38I77SZ6,A2UC4H3EHIMWGC,AECKWX9PFTHOM,A2DW47AFPJWXAM,A1G3G0YQ80PTL9,A4RT8SPRCRYVN,A1830YARZUAFPX,ASVP3M0AQ1HG4,AQ0ENO64Z0MBF,ATXUM0GBU5MC8,A2BACJE00ZUDXS,AZE7YSINS9UNZ,A32DRYN7M7HIZT,A2LRY3ID0PEG82,AVT0YEI6ESW25,A24HYROUW8ZMZ,AYJEQZWQZ471L,A11K4HY613LGHX,AZ4ZQMOFA3GND,ADFK3HW4HAH48,A2UF26QQNQOFCZ,A18EYZSDYZ7NIG,A1Y2N49VMVJ7C6,AOZ5HHRV4LTJF,A2IK4Y33UY7YFK,A1E2ADZSSESHHP,A22JTMBADARX55,A1VOFYYXKZWG7W,AFASY2VX8PADR,A2ZX5TLZPAQ2XD,A1X4KK8GK21WI4,A2XTDTDT3QSCB,A31J4TQIDERVVE,A3DZKVP1OBSTRF,A2RY24DUOWXUWU,A25SORYWGW7RQC,A1LD9ZQ3XTCWUN,AZR34QLGQARBV,A34HKFZ7LF12EC,A2OTDMCV8CZWML,A1FPCIKO68OQ63,A13QHXMU0OMNAY,A3L4JI1S352HB8,A1BWZQ1PEJG1HX,AKH0WFAUBUKUS,A1Z2P53Z69SJ92,A1PAFL0DX7EMAZ,A3VZA2YUYAOE0K,AK3DF1BXS8DSM,ABVPW8753ZBJO,A2EL6CXCGP4OB0,A2NPUPP06POEJ0,A2HNP1YL1IBFMU,A3QQD8CMGDUN8X
R10_972_A_O,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,l2diff,,,,,,,l2diff
R11_1068_O_~,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,l2diff,,,,,,,l2diff
R11_2024_O_N,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,l2diff,,,,,,,l2diff
R11_26_N_O,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,l2,,,l2diff,,,,,,,l2diff
R11_2785_~_N,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,l2diff,,,l2,,,,,,,l2diff
R12_130_N_O,,,,,,,,,l2diff,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,,,,,
R12_1466_O_N,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,,,,,
R12_1727_~_N,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,
R12_1776_A_N,,,,,,,,,l2diff,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,,,,,
R12_2479_~_A,,,,,,,,,l2diff,,,l2,,,,,,,,,,,,,,l2,,,,,,,,,l2,,,,,l2,,,,,,,,,,,,,,,,,,
R12_434_O_A,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,
R12_6955_A_O,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,,,,,
R12_6991_A_~,,,,,,,,,l2diff,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,,,,,
R12_761_~_O,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,,,,,
R12_927_O_~,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,,,,,
R18_1042_A_N,,,,,,,,,,,l2,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_1585_~_A,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_164_~_O,,,,,,,,,,,l2diff,,,,,l2diff,l2,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_2005_O_A,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_2364_~_N,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,
R18_2611_A_~,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_467_N_O,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2diff,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,
R18_512_N_~,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_621_A_O,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_732_O_~,,,,,,,,,,,l2diff,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R31_90_A_~,,,,,,,,,,l2diff,,,,,,l2diff,l2,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R31_96_O_N,,,,,,,,,,l2diff,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_1116_~_A,,,,,,,,,,l2diff,,,,,,l2diff,l2diff,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_166_N_A,,,,,,,,,,l2diff,,,,,,l2diff,l2diff,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_1672_O_A,,,,,,,,,,l2diff,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_169_N_~,,,,,,,,,,l2diff,,,,,,l2diff,l2diff,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_251_O_N,,,,,,,,,,l2diff,,,,,,l2diff,l2,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_387_N_O,,,,,,,,,,l2,,,,,,l2,l2,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_4019_A_O,,,,,,,,,,l2diff,,,,,,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R32_4320_A_~,,,,,,,,,,l2diff,,,,,,l2diff,l2diff,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R27_741_O_N,,,,,,,,,l2diff,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R27_777_N_O,,,,,,,,,l2diff,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R28_1030_O_N,,,,,,,,,l2diff,,,,,,,,,,,,,,,,l2,,l2,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R28_1275_~_A,,,,,,,,,l2diff,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R28_138_O_A,,,,,,,,,l2,,,,,,,,,,,,,,,,l2diff,,l2,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,
R28_1672_O_~,,,,,,,,,l2,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R28_21_N_O,,,,,,,,,l2diff,,,,,,,,,,,,,,,,l2,,l2,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R28_2402_A_~,,,,,,,,,l2diff,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R28_3565_~_O,,,,,,,,,l2,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,l2,,l2,,,,,,,,,,,,,,,,,,,,,,
R28_448_N_~,,,,,,,,,l2diff,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R18_791_N_A,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,
R18_957_O_N,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,
R19_122_N_O,,,,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,l2,l2,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,
R19_128_A_~,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,l2,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,
R19_1291_O_~,,,,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,l2,l2,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,
R19_1805_~_N,,,,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,
R19_2549_A_N,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,
R19_29_O_A,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,
R19_3118_~_A,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,
R19_325_O_N,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,
R21_2499_A_O,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R21_28_N_~,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R21_289_N_O,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,l2,,l2,,,,,,l2diff,,,,,,,,,,,,
R21_298_O_N,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R21_34_~_N,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R21_367_N_A,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2,,,,,,l2diff,,,,,,,,,,,,
R21_4207_A_N,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R21_4853_~_O,,l2,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R21_746_O_A,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R21_813_~_A,,l2,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,l2diff,,,,,,,,,,,,
R39_3118_~_N,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,
R39_3508_A_N,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,
R39_352_N_A,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,
R39_3660_A_O,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,
R39_370_~_O,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,
R39_3738_~_A,,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,
R39_627_N_O,,l2,,,,,,l2,,,,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,
R39_6860_A_~,,l2,,,,,,l2,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,
R4_1100_O_A,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,
R4_2150_A_~,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,
R9_1937_O_A,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_2047_A_N,,,,l2,,l2,,,,,,,,,,l2diff,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_2181_~_O,,,,l2diff,,l2,,,,,,,,,,l2,,,,,,,l2,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_2649_A_~,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_3215_~_A,,,,l2,,l2diff,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_352_N_O,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_358_N_A,,,,l2diff,,l2,,,,,,,,,,l2diff,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_384_O_~,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_5987_A_O,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9_796_N_~,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R22_603_O_A,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,
R22_7063_A_O,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,
R23_1345_O_N,,,,,,,,,,,,,,,,l2,,,,,,,,,l2,,,,l2,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,
R23_1467_A_~,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,
R23_1586_O_A,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,
R23_164_~_A,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,
R23_2614_~_N,,,,,,,,,,,,,,,,l2,,,,,,,,,l2diff,,,,l2,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,
R23_294_N_~,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,
R23_3215_~_O,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,
R23_3852_A_N,,,,,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,
R45_1450_A_~,,,,,l2diff,,,l2diff,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_1478_O_N,,,,,l2diff,,,l2diff,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_1567_~_A,,,,,l2,,,l2diff,,,,,,,l2diff,,,,,,,,l2,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_325_O_~,,,,,l2diff,,,l2diff,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_3310_A_O,,,,,l2diff,,,l2diff,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_418_N_A,,,,,l2diff,,,l2diff,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_4299_A_N,,,,,l2diff,,,l2,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_443_O_A,,,,,l2diff,,,l2,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_6103_~_O,,,,,l2,,,l2,,,,,,,l2,,,,,,,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R45_681_N_~,,,,,l2,,,l2diff,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R5_1313_A_N,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_140_N_O,,,,,,,,,,,,l2,,,,,l2,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_1427_~_A,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_143_N_A,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_166_N_~,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_1727_~_O,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_1907_O_A,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,
R5_1983_O_N,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_396_O_~,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R5_4282_~_N,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R46_4697_A_O,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,
R46_4816_A_~,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,
R46_5076_~_O,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,l2diff,l2,l2diff,,,,,,,,,,,,,,,,
R46_789_O_N,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,
R47_1824_A_N,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,
R47_202_N_O,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,
R47_2036_O_A,,,,,,,,,,,,,,,,,,,,,,,,l2,l2,,,,,,,,,,,,,,,l2,l2diff,l2diff,,,,,,,,,,,,,,,,
R47_2168_~_A,,,,,,,,,,,,,,,,,,,,,,,,l2,l2,,,,,,,,,,,,,,,l2diff,l2,l2,,,,,,,,,,,,,,,,
R47_218_O_N,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,
R47_2874_~_O,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,l2diff,l2,l2diff,,,,,,,,,,,,,,,,
R34_2506_A_N,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R34_335_O_A,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R34_3408_~_A,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R34_4244_~_O,,,,,l2,,,,,,,,,,l2,,,,,,,,,l2,l2,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R34_4452_~_N,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R34_6397_A_~,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R34_738_N_O,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R34_764_N_~,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R35_10_N_O,,,,,l2,,,,,,,,,,l2,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R35_1345_O_A,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R44_2411_~_O,,,,,l2,l2,,,,l2,,,,,,,,,,l2,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_3187_A_O,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_434_O_~,,,,,l2diff,l2diff,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_440_N_A,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_51_N_O,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_515_N_~,,,,,l2diff,l2,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_7320_~_A,,,,,l2,l2,,,,l2,,,,,,,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_737_O_N,,,,,l2diff,l2diff,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_798_A_~,,,,,l2diff,l2diff,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44_869_A_N,,,,,l2diff,l2diff,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R29_5572_A_N,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,
R29_6285_A_O,,,,,,,,,,,,l2,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,
R29_6573_~_N,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,
R29_6984_A_~,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,
R29_721_N_~,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,
R29_851_O_~,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,
R3_1078_O_N,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,l2,,,,,,,,,,,,,,,l2,l2,,,,,,,,,,,,,
R3_1104_A_O,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,
R3_1567_~_N,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,
R3_1588_O_A,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,
