Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-Type A,UPDATE-Type A,CURRENT-PilotTest,UPDATE-PilotTest,CURRENT-Past participant,UPDATE-Past participant,CURRENT-Already submitted,UPDATE-Already submitted,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A3CMDYA9USA3MR,https://requester.mturk.com/workers/A3CMDYA9USA3MR,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
A3CSX2WMTP4IOL,https://requester.mturk.com/workers/A3CSX2WMTP4IOL,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A3F0NFNLOLFJT0,https://requester.mturk.com/workers/A3F0NFNLOLFJT0,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,,,Never Blocked,,
A3F0YZ2UXHEBDI,https://requester.mturk.com/workers/A3F0YZ2UXHEBDI,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A3F1EX5JHQN5D4,https://requester.mturk.com/workers/A3F1EX5JHQN5D4,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A3HL2LL0LEPZT8,https://requester.mturk.com/workers/A3HL2LL0LEPZT8,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,4,,1,,,Never Blocked,,
A3HQ828Y2ICOAW,https://requester.mturk.com/workers/A3HQ828Y2ICOAW,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A3I31KX31R38F9,https://requester.mturk.com/workers/A3I31KX31R38F9,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
A3I9FTHSULHPYS,https://requester.mturk.com/workers/A3I9FTHSULHPYS,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A3IFXCXN9DEWL9,https://requester.mturk.com/workers/A3IFXCXN9DEWL9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A3ITZNJQUTIZ4C,https://requester.mturk.com/workers/A3ITZNJQUTIZ4C,12,12,100.00%,12,12,100.00%,12,12,100.00%,1,,,,,,,,Never Blocked,,
A3K1P4SPR8XS7R,https://requester.mturk.com/workers/A3K1P4SPR8XS7R,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,10,,1,,,Never Blocked,,
A3L4JI1S352HB8,https://requester.mturk.com/workers/A3L4JI1S352HB8,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
A3MRPUVA0CZG6M,https://requester.mturk.com/workers/A3MRPUVA0CZG6M,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
A3MZ9RQJX9T656,https://requester.mturk.com/workers/A3MZ9RQJX9T656,10,10,100.00%,10,10,100.00%,10,10,100.00%,,,,,,,,,Never Blocked,,
A3NNDCMBMFK2CZ,https://requester.mturk.com/workers/A3NNDCMBMFK2CZ,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
A3NO0D2Z9GTTZF,https://requester.mturk.com/workers/A3NO0D2Z9GTTZF,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
A3NZAEOHAO5LT6,https://requester.mturk.com/workers/A3NZAEOHAO5LT6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6,,1,,,,Never Blocked,,
A3PABOW1OQ9MX1,https://requester.mturk.com/workers/A3PABOW1OQ9MX1,45,45,100.00%,45,45,100.00%,45,45,100.00%,,,4,,1,,1,,Never Blocked,,
A3PIQY6PK42RIS,https://requester.mturk.com/workers/A3PIQY6PK42RIS,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A3PJXTE22NL72H,https://requester.mturk.com/workers/A3PJXTE22NL72H,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,3,,1,,,Never Blocked,,
A3PT15XRN1X8VE,https://requester.mturk.com/workers/A3PT15XRN1X8VE,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,4,,1,,,Never Blocked,,
A3QI1RV4HQ9MOC,https://requester.mturk.com/workers/A3QI1RV4HQ9MOC,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A3QQD8CMGDUN8X,https://requester.mturk.com/workers/A3QQD8CMGDUN8X,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A3RYI5HXC2MJLN,https://requester.mturk.com/workers/A3RYI5HXC2MJLN,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,,Never Blocked,,
A3UUH3632AI3ZX,https://requester.mturk.com/workers/A3UUH3632AI3ZX,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,3,,1,,,Never Blocked,,
A3VXL1AHHGZH9W,https://requester.mturk.com/workers/A3VXL1AHHGZH9W,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,9,,1,,,Never Blocked,,
A3VZA2YUYAOE0K,https://requester.mturk.com/workers/A3VZA2YUYAOE0K,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A3W0C04EXOY12C,https://requester.mturk.com/workers/A3W0C04EXOY12C,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1,,Never Blocked,,
A4B9KOBGSOGAP,https://requester.mturk.com/workers/A4B9KOBGSOGAP,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1,,Never Blocked,,
A4H1NYJVE7C53,https://requester.mturk.com/workers/A4H1NYJVE7C53,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,9,,1,,,Never Blocked,,
A4J4GGMKJ68L0,https://requester.mturk.com/workers/A4J4GGMKJ68L0,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9,,1,,,,Never Blocked,,
A4OVCB3307414,https://requester.mturk.com/workers/A4OVCB3307414,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5,,1,,,,Never Blocked,,
A4RT8SPRCRYVN,https://requester.mturk.com/workers/A4RT8SPRCRYVN,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7,,1,,,,Never Blocked,,
A551HPX8YDZ32,https://requester.mturk.com/workers/A551HPX8YDZ32,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A6KOTWP7N7RLU,https://requester.mturk.com/workers/A6KOTWP7N7RLU,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
A6YDORFZZXXPQ,https://requester.mturk.com/workers/A6YDORFZZXXPQ,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,,,Never Blocked,,
A7150GR6HHY5D,https://requester.mturk.com/workers/A7150GR6HHY5D,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A9MYC5IGQ2DO4,https://requester.mturk.com/workers/A9MYC5IGQ2DO4,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
AAW47EO3KEMAT,https://requester.mturk.com/workers/AAW47EO3KEMAT,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6,,1,,,,Never Blocked,,
ABMPX2Y2IRBMG,https://requester.mturk.com/workers/ABMPX2Y2IRBMG,13,13,100.00%,13,13,100.00%,13,13,100.00%,,,,,,,,,Never Blocked,,
ABR7PP2SD8P3D,https://requester.mturk.com/workers/ABR7PP2SD8P3D,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,4,,1,,,Never Blocked,,
ABVPW8753ZBJO,https://requester.mturk.com/workers/ABVPW8753ZBJO,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
AD86DUCATIFJ6,https://requester.mturk.com/workers/AD86DUCATIFJ6,18,18,100.00%,18,18,100.00%,18,18,100.00%,,,,,,,1,,Never Blocked,,
ADFK3HW4HAH48,https://requester.mturk.com/workers/ADFK3HW4HAH48,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
ADMZ7XRN7FV4R,https://requester.mturk.com/workers/ADMZ7XRN7FV4R,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
ADNSFH55XO2F8,https://requester.mturk.com/workers/ADNSFH55XO2F8,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
ADOVF9SBJJK33,https://requester.mturk.com/workers/ADOVF9SBJJK33,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
AE03LUY7RH400,https://requester.mturk.com/workers/AE03LUY7RH400,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
AECKWX9PFTHOM,https://requester.mturk.com/workers/AECKWX9PFTHOM,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
AEY67OL8UKB,https://requester.mturk.com/workers/AEY67OL8UKB,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6,,1,,,,Never Blocked,,
AFASY2VX8PADR,https://requester.mturk.com/workers/AFASY2VX8PADR,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
AFUUPNBIKHRFZ,https://requester.mturk.com/workers/AFUUPNBIKHRFZ,25,25,100.00%,25,25,100.00%,25,25,100.00%,,,,,,,1,,Never Blocked,,
AHAF93PYUCVQ1,https://requester.mturk.com/workers/AHAF93PYUCVQ1,4,4,100.00%,4,4,100.00%,4,4,100.00%,1,,,,,,,,Never Blocked,,
AI4AO0O0WIJF7,https://requester.mturk.com/workers/AI4AO0O0WIJF7,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,,Never Blocked,,
AK3DF1BXS8DSM,https://requester.mturk.com/workers/AK3DF1BXS8DSM,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
AK92XFC67MMSB,https://requester.mturk.com/workers/AK92XFC67MMSB,15,15,100.00%,15,15,100.00%,15,15,100.00%,,,,,,,1,,Never Blocked,,
AKH0WFAUBUKUS,https://requester.mturk.com/workers/AKH0WFAUBUKUS,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
AKLH2YXK5BAUP,https://requester.mturk.com/workers/AKLH2YXK5BAUP,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
AKPXWXJFLHM08,https://requester.mturk.com/workers/AKPXWXJFLHM08,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
AKSJ3C5O3V9RB,https://requester.mturk.com/workers/AKSJ3C5O3V9RB,11,11,100.00%,11,11,100.00%,11,11,100.00%,,,,,,,1,,Never Blocked,,
AKXY2ATEM5DC2,https://requester.mturk.com/workers/AKXY2ATEM5DC2,28,28,100.00%,28,28,100.00%,28,28,100.00%,,,,,,,1,,Never Blocked,,
AMYURTQIMAC8T,https://requester.mturk.com/workers/AMYURTQIMAC8T,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
ANQG22MEKC96H,https://requester.mturk.com/workers/ANQG22MEKC96H,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,,,Never Blocked,,
ANZKTE853UXSD,https://requester.mturk.com/workers/ANZKTE853UXSD,6,6,100.00%,6,6,100.00%,6,6,100.00%,,,,,,,,,Never Blocked,,
AOZ5HHRV4LTJF,https://requester.mturk.com/workers/AOZ5HHRV4LTJF,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
APF1EAZT104LQ,https://requester.mturk.com/workers/APF1EAZT104LQ,10,10,100.00%,10,10,100.00%,10,10,100.00%,,,,,,,,,Never Blocked,,
APL21ZIGWMI6T,https://requester.mturk.com/workers/APL21ZIGWMI6T,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
APSX6ZF7HGSG2,https://requester.mturk.com/workers/APSX6ZF7HGSG2,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,3,,1,,,Never Blocked,,
AQMVELK8NH0A8,https://requester.mturk.com/workers/AQMVELK8NH0A8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
AQWV4866H1PFQ,https://requester.mturk.com/workers/AQWV4866H1PFQ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
ARIBVG7WV64QM,https://requester.mturk.com/workers/ARIBVG7WV64QM,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,,,1,,Never Blocked,,
ARJ8XLYXTWNE,https://requester.mturk.com/workers/ARJ8XLYXTWNE,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
ASVP3M0AQ1HG4,https://requester.mturk.com/workers/ASVP3M0AQ1HG4,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7,,1,,,,Never Blocked,,
ASWZO1WY1UHEP,https://requester.mturk.com/workers/ASWZO1WY1UHEP,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1,,Never Blocked,,
ATXUM0GBU5MC8,https://requester.mturk.com/workers/ATXUM0GBU5MC8,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,9,,1,,,Never Blocked,,
AVQY31GSZZADX,https://requester.mturk.com/workers/AVQY31GSZZADX,15,15,100.00%,15,15,100.00%,15,15,100.00%,,,,,,,1,,Never Blocked,,
AVT0YEI6ESW25,https://requester.mturk.com/workers/AVT0YEI6ESW25,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,7,,1,,,,Never Blocked,,
AWARV9T9HFWGD,https://requester.mturk.com/workers/AWARV9T9HFWGD,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
AXLMOFXKXSU0B,https://requester.mturk.com/workers/AXLMOFXKXSU0B,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
AYFM9UR1160YR,https://requester.mturk.com/workers/AYFM9UR1160YR,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,2,,1,,,Never Blocked,,
AYJEQZWQZ471L,https://requester.mturk.com/workers/AYJEQZWQZ471L,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
AYMA9R47TWK1H,https://requester.mturk.com/workers/AYMA9R47TWK1H,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,4,,1,,,Never Blocked,,
AYV524MS3U9QU,https://requester.mturk.com/workers/AYV524MS3U9QU,36,36,100.00%,36,36,100.00%,36,36,100.00%,,,,,,,1,,Never Blocked,,
AZ4ZQMOFA3GND,https://requester.mturk.com/workers/AZ4ZQMOFA3GND,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9,,1,,,,Never Blocked,,
AZE7YSINS9UNZ,https://requester.mturk.com/workers/AZE7YSINS9UNZ,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
AZECI12W8YFX5,https://requester.mturk.com/workers/AZECI12W8YFX5,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
AZR34QLGQARBV,https://requester.mturk.com/workers/AZR34QLGQARBV,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
